bars_x,bars_y,distr_x,distr_sum_y,distr_1_y,distr_2_y,distr_3_y,distr_4_y,distr_5_y
0,0,0,24.0503407451199,24.0313422878279,0.0189984572920566,2.65617544593906e-21,2.02597679696628e-33,6.73187047776627e-17
2,8,2,33.9219214089496,33.8896245485061,0.0322968604435073,3.13632644449435e-20,4.4692332440139e-32,2.38589440307687e-16
4,29,4,44.9502527356062,44.8964580809045,0.0537946547017494,3.47890329811236e-19,9.26164581938611e-31,8.28521022723804e-16
6,57,6,55.962336818023,55.8745448491632,0.0877919688598636,3.62510048130577e-18,1.80301737547015e-29,2.81898454005233e-15
8,69,8,65.4643417212061,65.323961054482,0.140380666724145,3.54857783694011e-17,3.29737431009988e-28,9.39763780706027e-15
10,60,10,71.9642719032098,71.7443357321847,0.219936171025063,3.26321146003287e-16,5.66491219705546e-27,3.06959839465306e-14
12,74,12,74.3593612976217,74.0217454170838,0.337615880537802,2.81898454005233e-15,9.14270507889286e-26,9.82383959194968e-14
14,46,14,72.252127809124,71.7443357321847,0.507792076939014,2.28768784980041e-14,1.38615831160465e-24,3.08047588434182e-13
16,45,16,66.07227841628,65.323961054482,0.748317361796914,1.74404397803694e-13,1.97427456730973e-23,9.46435912652079e-13
18,49,18,56.9550393724494,55.8745448491632,1.08049452328212,1.24903524452404e-12,2.64155016935413e-22,2.84905908990441e-12
20,36,20,46.425066213014,44.8964580809045,1.5286081320927,8.40327448001614e-12,3.32021930742382e-21,8.40327448001614e-12
22,40,22,36.0085057538495,33.8896245485061,2.11888120526607,5.31103300533752e-11,3.92040805561793e-20,2.4284685825465e-11
24,25,24,26.9090978312966,24.0313422878279,2.87775554308467,3.15330548496746e-10,4.34862912264046e-19,6.87627562827197e-11
26,22,26,19.8377895260691,16.0083251216651,3.82946440245449,1.75877258339284e-09,4.53137560163222e-18,1.90770365245447e-10
28,23,28,15.0107246407325,10.0177538816895,4.9929707493091,9.21530943416137e-09,4.43572229617514e-17,5.18567617255191e-10
30,15,30,12.2676086941162,5.88913369984891,6.3784749475268,4.53593427627411e-08,4.07901432504108e-16,1.38113688025673e-09
32,26,32,11.2361233755417,3.25228851507917,7.9838346471189,2.097394759759e-07,3.52373067506541e-15,3.6041669411708e-09
34,26,34,11.4786269220493,1.68726505435771,9.79136094740945,9.11066753872562e-07,2.85960981225052e-14,9.21530943416137e-09
36,24,36,12.5878394103547,0.822307313593038,11.7655283559541,3.71772116668594e-06,2.18005497254617e-13,2.3086164920117e-08
38,17,38,14.2286271467308,0.376479721791685,13.8521331167886,1.42514818527508e-05,1.56129405565505e-12,5.6667037958483e-08
40,15,40,16.1413092366594,0.161921910652266,15.9793358681546,5.1321557648628e-05,1.05040931000202e-11,1.36284378499335e-07
42,22,42,18.1264236692543,0.0654223658848677,18.0608273635684,0.000173618591602211,6.6387912566719e-11,3.21143022904627e-07
44,24,44,20.0264620918568,0.0248315292395457,20.00107806202,0.000551758743010377,3.94163185620932e-10,7.4146004195295e-07
46,19,46,21.712815523946,0.00885395441703787,21.702312642685,0.00164724733340239,2.19846572924105e-09,1.67731201942276e-06
48,22,48,23.0801327643882,0.00296570324368078,23.0725435125108,0.00461981939340384,1.15191367927017e-08,3.71772116668594e-06
50,23,50,24.0468762020503,0.000933199929861885,24.0337632686914,0.0121716029553242,5.66991784534264e-08,8.07377451752859e-06
52,18,52,24.5597057054574,0.000275853372361375,24.5292874036691,0.0301250066329796,2.62174344969875e-07,1.71796086323184e-05
54,31,54,24.599443699954,7.66017149585353e-05,24.5292874036691,0.070042738937988,1.1388334423407e-06,3.58167984365475e-05
56,25,56,24.186848469718,1.99827512709369e-05,24.0337632686914,0.1529874071801,4.64715145835743e-06,7.31639437366015e-05
58,22,58,23.3866224362019,4.89698380206502e-06,23.0725435125108,0.313909777554923,1.78143523159384e-05,0.000146434800077907
60,22,60,22.3077420179243,1.12734968337046e-06,21.702312642685,0.605076933037986,6.4151947060785e-05,0.000287162904573981
62,20,62,21.0974998691762,2.43806467349734e-07,20.00107806202,1.09565278136724,0.000217023239502764,0.000551758743010377
64,14,64,19.9263240158068,4.95322882086173e-08,18.0608273635684,1.86376816403525,0.000689698428762971,0.00103874024205914
66,16,66,18.9616040092825,9.45340263573651e-09,15.9793358681546,2.97829304589118,0.00205905916675299,0.00191602661654354
68,18,68,18.3323181394204,1.69490169817001e-09,13.8521331167886,4.47094740238658,0.0057747742417548,0.00346284430857814
