C Flex-03
Nnodes, Nelem, nodeOffset, elemOffset (4I6)
   960   468     1     1
         1  0 0 0 1 1 1 1 1      22.20000040       0.00000000      15.00000000 1 1 1
         2  1 1 1 1 1 1 1 1      21.20000038       0.00000000      15.00000000 1 1 1
         3  1 1 1 1 1 1 1 1      23.70000040      -2.50000000      15.00000000 1 1 1
         4  0 0 0 1 1 1 1 1      23.70000040      -1.50000000      15.00000000 1 1 1
         5  0 0 0 1 1 1 1 1      23.70000040       1.50000000      15.00000000 1 1 1
         6  1 1 1 1 1 1 1 1      23.70000040       2.50000000      15.00000000 1 1 1
         7  1 1 1 1 1 1 1 1      26.20000040       0.00000000      15.00000000 1 1 1
         8  0 0 0 1 1 1 1 1      25.20000040       0.00000000      15.00000000 1 1 1
         9  1 1 1 1 1 1 1 1      23.70000040       2.50000000       5.00000000 1 1 1
        10  1 1 1 1 1 1 1 1      23.70000040      -2.50000000       5.00000000 1 1 1
        11  0 0 0 1 1 1 1 1      23.70000040       1.50000000       5.00000000 1 1 1
        12  0 0 0 1 1 1 1 1      23.70000040      -1.50000000       5.00000000 1 1 1
        13  1 1 1 1 1 1 1 1      -2.50000040       0.00000000      15.00000000 1 1 1
        14  1 1 1 1 1 1 1 1       2.49999962       0.00000000      15.00000000 1 1 1
        15  0 0 0 1 1 1 1 1       1.49999960       0.00000000      15.00000000 1 1 1
        16  0 0 0 1 1 1 1 1      -1.50000040       0.00000000      15.00000000 1 1 1
        17  1 1 1 1 1 1 1 1       2.49999962      -0.00000000       5.00000000 1 1 1
        18  1 1 1 1 1 1 1 1      -2.50000040      -0.00000000       5.00000000 1 1 1
        19  0 0 0 1 1 1 1 1       1.49999960      -0.00000000       5.00000000 1 1 1
        20  0 0 0 1 1 1 1 1      -1.50000040      -0.00000000       5.00000000 1 1 1
        21  0 0 0 1 1 1 1 1      22.94999940      -1.29903805      15.00000000 1 1 1
        22  0 0 0 1 1 1 1 1      22.40096150      -0.75000006      15.00000000 1 1 1
        23  0 0 0 1 1 1 1 1      22.40096150       0.75000006      15.00000000 1 1 1
        24  0 0 0 1 1 1 1 1      22.94999940       1.29903805      15.00000000 1 1 1
        25  0 0 0 1 1 1 1 1      24.45000040       1.29903805      15.00000000 1 1 1
        26  0 0 0 1 1 1 1 1      24.99903830       0.74999964      15.00000000 1 1 1
        27  0 0 0 1 1 1 1 1      24.99903830      -0.74999958      15.00000000 1 1 1
        28  0 0 0 1 1 1 1 1      24.45000040      -1.29903805      15.00000000 1 1 1
        29  1 1 1 1 1 1 1 1      25.86506330       1.25000000      15.00000000 1 1 1
        30  1 1 1 1 1 1 1 1      24.95000040       2.16506314      15.00000000 1 1 1
        31  1 1 1 1 1 1 1 1      22.44999940       2.16506338      15.00000000 1 1 1
        32  1 1 1 1 1 1 1 1      21.53493652       1.25000000      15.00000000 1 1 1
        33  1 1 1 1 1 1 1 1      21.53493652      -1.25000012      15.00000000 1 1 1
