C  CilindarUnutra1
Nnodes, Nelem, nodeOffset, elemOffset (4I6)
  9016  4480     1     1
         1  0 0 0 1 1 1 1 1       0.34999999       0.00000000       5.00000000 1 1 1
         2  0 0 0 1 1 1 1 1       0.34999999       0.00000000      -1.00000000 1 1 1
         3  0 0 0 1 1 1 1 1       0.00000000      -0.34999999      -1.00000000 1 1 1
         4  0 0 0 1 1 1 1 1       0.00000000      -0.34999999       5.00000000 1 1 1
         5  0 0 0 1 1 1 1 1       0.43000001       0.00000000      -1.00000000 1 1 1
         6  0 0 0 1 1 1 1 1       0.00000000      -0.43000001      -1.00000000 1 1 1
         7  0 0 0 1 1 1 1 1       0.00000000      -0.43000001       5.00000000 1 1 1
         8  0 0 0 1 1 1 1 1       0.43000001       0.00000000       5.00000000 1 1 1
         9  0 0 0 1 1 1 1 1      -0.34999999       0.00000000       5.00000000 1 1 1
        10  0 0 0 1 1 1 1 1      -0.34999999       0.00000000      -1.00000000 1 1 1
        11  0 0 0 1 1 1 1 1       0.00000000       0.34999999      -1.00000000 1 1 1
        12  0 0 0 1 1 1 1 1       0.00000000       0.34999999       5.00000000 1 1 1
        13  0 0 0 1 1 1 1 1      -0.43000001       0.00000000      -1.00000000 1 1 1
        14  0 0 0 1 1 1 1 1       0.00000000       0.43000001      -1.00000000 1 1 1
        15  0 0 0 1 1 1 1 1       0.00000000       0.43000001       5.00000000 1 1 1
        16  0 0 0 1 1 1 1 1      -0.43000001       0.00000000       5.00000000 1 1 1
        17  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.96250010 1 1 1
        18  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.92500019 1 1 1
        19  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.88749981 1 1 1
        20  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.84999990 1 1 1
        21  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.81250000 1 1 1
        22  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.77500010 1 1 1
        23  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.73750019 1 1 1
        24  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.69999981 1 1 1
        25  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.66249990 1 1 1
        26  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.62500000 1 1 1
        27  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.58750010 1 1 1
        28  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.55000019 1 1 1
        29  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.51249981 1 1 1
        30  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.47499990 1 1 1
        31  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.43750000 1 1 1
        32  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.40000010 1 1 1
        33  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.36250019 1 1 1
        34  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.32499981 1 1 1
        35  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.28749990 1 1 1
        36  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.25000000 1 1 1
        37  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.21250010 1 1 1
        38  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.17500019 1 1 1
        39  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.13749981 1 1 1
        40  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.09999990 1 1 1
        41  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.06250000 1 1 1
        42  0 0 0 1 1 1 1 1       0.34999999       0.00000000       4.02500010 1 1 1
        43  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.98750019 1 1 1
        44  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.94999981 1 1 1
        45  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.91249990 1 1 1
        46  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.87500000 1 1 1
        47  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.83750010 1 1 1
        48  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.80000019 1 1 1
        49  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.76249981 1 1 1
        50  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.72499990 1 1 1
        51  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.68750000 1 1 1
        52  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.65000010 1 1 1
        53  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.61250019 1 1 1
        54  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.57499981 1 1 1
        55  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.53749990 1 1 1
        56  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.50000000 1 1 1
        57  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.46250010 1 1 1
        58  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.42500019 1 1 1
        59  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.38749981 1 1 1
        60  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.34999990 1 1 1
        61  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.31250000 1 1 1
        62  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.27500010 1 1 1
        63  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.23750019 1 1 1
        64  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.19999981 1 1 1
        65  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.16249990 1 1 1
        66  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.12500000 1 1 1
        67  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.08750010 1 1 1
        68  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.05000019 1 1 1
        69  0 0 0 1 1 1 1 1       0.34999999       0.00000000       3.01249981 1 1 1
        70  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.97499990 1 1 1
        71  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.93750000 1 1 1
        72  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.90000010 1 1 1
        73  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.86249995 1 1 1
        74  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.82500005 1 1 1
        75  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.78749990 1 1 1
        76  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.75000000 1 1 1
        77  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.71250010 1 1 1
        78  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.67499995 1 1 1
        79  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.63750005 1 1 1
        80  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.59999990 1 1 1
        81  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.56250000 1 1 1
        82  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.52500010 1 1 1
        83  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.48749995 1 1 1
        84  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.45000005 1 1 1
        85  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.41249990 1 1 1
        86  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.37500000 1 1 1
        87  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.33750010 1 1 1
        88  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.29999995 1 1 1
        89  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.26250005 1 1 1
        90  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.22499990 1 1 1
        91  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.18750000 1 1 1
        92  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.15000010 1 1 1
        93  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.11249995 1 1 1
        94  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.07500005 1 1 1
        95  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.03749990 1 1 1
        96  0 0 0 1 1 1 1 1       0.34999999       0.00000000       2.00000000 1 1 1
        97  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.96250010 1 1 1
        98  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.92499995 1 1 1
        99  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.88750005 1 1 1
       100  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.84999990 1 1 1
       101  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.81250000 1 1 1
       102  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.77500010 1 1 1
       103  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.73749995 1 1 1
       104  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.70000005 1 1 1
       105  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.66249990 1 1 1
       106  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.62500000 1 1 1
       107  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.58750010 1 1 1
       108  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.54999995 1 1 1
       109  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.51250005 1 1 1
       110  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.47499990 1 1 1
       111  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.43750000 1 1 1
       112  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.40000010 1 1 1
       113  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.36249995 1 1 1
       114  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.32500005 1 1 1
       115  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.28749990 1 1 1
       116  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.25000000 1 1 1
       117  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.21250010 1 1 1
       118  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.17499995 1 1 1
       119  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.13750005 1 1 1
       120  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.09999990 1 1 1
       121  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.06250000 1 1 1
       122  0 0 0 1 1 1 1 1       0.34999999       0.00000000       1.02500010 1 1 1
       123  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.98749995 1 1 1
       124  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.95000005 1 1 1
       125  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.91250002 1 1 1
       126  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.87500000 1 1 1
       127  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.83749998 1 1 1
       128  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.79999995 1 1 1
       129  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.76250005 1 1 1
       130  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.72500002 1 1 1
       131  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.68750000 1 1 1
       132  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.64999998 1 1 1
       133  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.61249995 1 1 1
       134  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.57500005 1 1 1
       135  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.53750002 1 1 1
       136  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.50000000 1 1 1
       137  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.46249998 1 1 1
       138  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.42499995 1 1 1
       139  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.38750005 1 1 1
       140  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.35000002 1 1 1
       141  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.31250000 1 1 1
       142  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.27499998 1 1 1
       143  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.23749995 1 1 1
       144  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.20000005 1 1 1
       145  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.16250002 1 1 1
       146  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.12500000 1 1 1
       147  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.08749998 1 1 1
       148  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.04999995 1 1 1
       149  0 0 0 1 1 1 1 1       0.34999999       0.00000000       0.01250005 1 1 1
       150  0 0 0 1 1 1 1 1       0.34999999       0.00000000      -0.02499998 1 1 1
       151  0 0 0 1 1 1 1 1       0.34999999       0.00000000      -0.06250000 1 1 1
