C Cilindar2
Nnodes, Nelem, nodeOffset, elemOffset (4I6)
  9016  4480  9017  4481
      9017  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.00000000 1 1 1
      9018  0 0 0 1 1 1 1 1       0.34999999       0.00000000       5.00000000 1 1 1
      9019  0 0 0 1 1 1 1 1       0.00000000      -0.34999999       5.00000000 1 1 1
      9020  0 0 0 1 1 1 1 1       0.00000000      -0.34999999      11.00000000 1 1 1
      9021  0 0 0 1 1 1 1 1       0.43000001       0.00000000       5.00000000 1 1 1
      9022  0 0 0 1 1 1 1 1       0.00000000      -0.43000001       5.00000000 1 1 1
      9023  0 0 0 1 1 1 1 1       0.00000000      -0.43000001      11.00000000 1 1 1
      9024  0 0 0 1 1 1 1 1       0.43000001       0.00000000      11.00000000 1 1 1
      9025  0 0 0 1 1 1 1 1      -0.34999999       0.00000000      11.00000000 1 1 1
      9026  0 0 0 1 1 1 1 1      -0.34999999       0.00000000       5.00000000 1 1 1
      9027  0 0 0 1 1 1 1 1       0.00000000       0.34999999       5.00000000 1 1 1
      9028  0 0 0 1 1 1 1 1       0.00000000       0.34999999      11.00000000 1 1 1
      9029  0 0 0 1 1 1 1 1      -0.43000001       0.00000000       5.00000000 1 1 1
      9030  0 0 0 1 1 1 1 1       0.00000000       0.43000001       5.00000000 1 1 1
      9031  0 0 0 1 1 1 1 1       0.00000000       0.43000001      11.00000000 1 1 1
      9032  0 0 0 1 1 1 1 1      -0.43000001       0.00000000      11.00000000 1 1 1
      9033  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.96250010 1 1 1
      9034  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.92500019 1 1 1
      9035  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.88749981 1 1 1
      9036  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.84999990 1 1 1
      9037  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.81250000 1 1 1
      9038  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.77500010 1 1 1
      9039  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.73750019 1 1 1
      9040  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.69999981 1 1 1
      9041  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.66249990 1 1 1
      9042  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.62500000 1 1 1
      9043  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.58750010 1 1 1
      9044  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.55000019 1 1 1
      9045  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.51249981 1 1 1
      9046  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.47499990 1 1 1
      9047  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.43750000 1 1 1
      9048  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.40000010 1 1 1
      9049  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.36250019 1 1 1
      9050  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.32499981 1 1 1
      9051  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.28749990 1 1 1
      9052  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.25000000 1 1 1
      9053  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.21250010 1 1 1
      9054  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.17500019 1 1 1
