C CilindarUnutra
Nnodes, Nelem, nodeOffset, elemOffset (4I6)
  9016  4480  9073  4481
      9073  0 0 0 1 1 1 1 1       0.34999999       0.00000000      23.90000000 1 1 1
      9074  0 0 0 1 1 1 1 1       0.34999999       0.00000000      -2.10000000 1 1 1
      9075  0 0 0 1 1 1 1 1       0.00000000      -0.34999999      -2.10000000 1 1 1
      9076  0 0 0 1 1 1 1 1       0.00000000      -0.34999999      23.90000000 1 1 1
      9077  0 0 0 1 1 1 1 1       0.43000001       0.00000000      -2.10000000 1 1 1
      9078  0 0 0 1 1 1 1 1       0.00000000      -0.43000001      -2.10000000 1 1 1
      9079  0 0 0 1 1 1 1 1       0.00000000      -0.43000001      23.90000000 1 1 1
      9080  0 0 0 1 1 1 1 1       0.43000001       0.00000000      23.90000000 1 1 1
      9081  0 0 0 1 1 1 1 1      -0.34999999       0.00000000      23.90000000 1 1 1
      9082  0 0 0 1 1 1 1 1      -0.34999999       0.00000000      -2.10000000 1 1 1
      9083  0 0 0 1 1 1 1 1       0.00000000       0.34999999      -2.10000000 1 1 1
      9084  0 0 0 1 1 1 1 1       0.00000000       0.34999999      23.90000000 1 1 1
      9085  0 0 0 1 1 1 1 1      -0.43000001       0.00000000      -2.10000000 1 1 1
      9086  0 0 0 1 1 1 1 1       0.00000000       0.43000001      -2.10000000 1 1 1
      9087  0 0 0 1 1 1 1 1       0.00000000       0.43000001      23.90000000 1 1 1
      9088  0 0 0 1 1 1 1 1      -0.43000001       0.00000000      23.90000000 1 1 1
      9089  0 0 0 1 1 1 1 1       0.34999999       0.00000000      23.73749960 1 1 1
      9090  0 0 0 1 1 1 1 1       0.34999999       0.00000000      23.57499920 1 1 1
      9091  0 0 0 1 1 1 1 1       0.34999999       0.00000000      23.41250080 1 1 1
      9092  0 0 0 1 1 1 1 1       0.34999999       0.00000000      23.25000040 1 1 1
      9093  0 0 0 1 1 1 1 1       0.34999999       0.00000000      23.08750000 1 1 1
      9094  0 0 0 1 1 1 1 1       0.34999999       0.00000000      22.92499960 1 1 1
      9095  0 0 0 1 1 1 1 1       0.34999999       0.00000000      22.76249920 1 1 1
      9096  0 0 0 1 1 1 1 1       0.34999999       0.00000000      22.60000080 1 1 1
      9097  0 0 0 1 1 1 1 1       0.34999999       0.00000000      22.43750040 1 1 1
      9098  0 0 0 1 1 1 1 1       0.34999999       0.00000000      22.27500000 1 1 1
      9099  0 0 0 1 1 1 1 1       0.34999999       0.00000000      22.11249960 1 1 1
      9100  0 0 0 1 1 1 1 1       0.34999999       0.00000000      21.94999920 1 1 1
      9101  0 0 0 1 1 1 1 1       0.34999999       0.00000000      21.78750080 1 1 1
      9102  0 0 0 1 1 1 1 1       0.34999999       0.00000000      21.62500040 1 1 1
      9103  0 0 0 1 1 1 1 1       0.34999999       0.00000000      21.46250000 1 1 1
      9104  0 0 0 1 1 1 1 1       0.34999999       0.00000000      21.29999960 1 1 1
      9105  0 0 0 1 1 1 1 1       0.34999999       0.00000000      21.13749920 1 1 1
      9106  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.97500080 1 1 1
      9107  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.81250040 1 1 1
      9108  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.65000000 1 1 1
      9109  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.48749960 1 1 1
      9110  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.32499920 1 1 1
      9111  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.16250080 1 1 1
      9112  0 0 0 1 1 1 1 1       0.34999999       0.00000000      20.00000040 1 1 1
      9113  0 0 0 1 1 1 1 1       0.34999999       0.00000000      19.83750000 1 1 1
      9114  0 0 0 1 1 1 1 1       0.34999999       0.00000000      19.67499960 1 1 1
      9115  0 0 0 1 1 1 1 1       0.34999999       0.00000000      19.51249920 1 1 1
      9116  0 0 0 1 1 1 1 1       0.34999999       0.00000000      19.35000080 1 1 1
      9117  0 0 0 1 1 1 1 1       0.34999999       0.00000000      19.18750040 1 1 1
      9118  0 0 0 1 1 1 1 1       0.34999999       0.00000000      19.02500000 1 1 1
      9119  0 0 0 1 1 1 1 1       0.34999999       0.00000000      18.86249960 1 1 1
      9120  0 0 0 1 1 1 1 1       0.34999999       0.00000000      18.69999920 1 1 1
      9121  0 0 0 1 1 1 1 1       0.34999999       0.00000000      18.53750080 1 1 1
      9122  0 0 0 1 1 1 1 1       0.34999999       0.00000000      18.37500040 1 1 1
      9123  0 0 0 1 1 1 1 1       0.34999999       0.00000000      18.21250000 1 1 1
      9124  0 0 0 1 1 1 1 1       0.34999999       0.00000000      18.04999960 1 1 1
      9125  0 0 0 1 1 1 1 1       0.34999999       0.00000000      17.88749920 1 1 1
      9126  0 0 0 1 1 1 1 1       0.34999999       0.00000000      17.72500080 1 1 1
      9127  0 0 0 1 1 1 1 1       0.34999999       0.00000000      17.56250040 1 1 1
      9128  0 0 0 1 1 1 1 1       0.34999999       0.00000000      17.40000000 1 1 1
      9129  0 0 0 1 1 1 1 1       0.34999999       0.00000000      17.23749960 1 1 1
      9130  0 0 0 1 1 1 1 1       0.34999999       0.00000000      17.07499920 1 1 1
      9131  0 0 0 1 1 1 1 1       0.34999999       0.00000000      16.91250080 1 1 1
      9132  0 0 0 1 1 1 1 1       0.34999999       0.00000000      16.75000040 1 1 1
      9133  0 0 0 1 1 1 1 1       0.34999999       0.00000000      16.58750000 1 1 1
      9134  0 0 0 1 1 1 1 1       0.34999999       0.00000000      16.42499960 1 1 1
      9135  0 0 0 1 1 1 1 1       0.34999999       0.00000000      16.26249920 1 1 1
      9136  0 0 0 1 1 1 1 1       0.34999999       0.00000000      16.10000080 1 1 1
      9137  0 0 0 1 1 1 1 1       0.34999999       0.00000000      15.93750040 1 1 1
      9138  0 0 0 1 1 1 1 1       0.34999999       0.00000000      15.77500000 1 1 1
      9139  0 0 0 1 1 1 1 1       0.34999999       0.00000000      15.61249960 1 1 1
      9140  0 0 0 1 1 1 1 1       0.34999999       0.00000000      15.44999920 1 1 1
      9141  0 0 0 1 1 1 1 1       0.34999999       0.00000000      15.28750080 1 1 1
      9142  0 0 0 1 1 1 1 1       0.34999999       0.00000000      15.12500040 1 1 1
      9143  0 0 0 1 1 1 1 1       0.34999999       0.00000000      14.96250000 1 1 1
      9144  0 0 0 1 1 1 1 1       0.34999999       0.00000000      14.79999960 1 1 1
      9145  0 0 0 1 1 1 1 1       0.34999999       0.00000000      14.63749920 1 1 1
      9146  0 0 0 1 1 1 1 1       0.34999999       0.00000000      14.47500080 1 1 1
      9147  0 0 0 1 1 1 1 1       0.34999999       0.00000000      14.31250040 1 1 1
      9148  0 0 0 1 1 1 1 1       0.34999999       0.00000000      14.15000000 1 1 1
      9149  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.98749960 1 1 1
      9150  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.82500020 1 1 1
      9151  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.66249980 1 1 1
      9152  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.50000040 1 1 1
      9153  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.33750000 1 1 1
      9154  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.17499960 1 1 1
      9155  0 0 0 1 1 1 1 1       0.34999999       0.00000000      13.01250020 1 1 1
      9156  0 0 0 1 1 1 1 1       0.34999999       0.00000000      12.84999980 1 1 1
      9157  0 0 0 1 1 1 1 1       0.34999999       0.00000000      12.68750040 1 1 1
      9158  0 0 0 1 1 1 1 1       0.34999999       0.00000000      12.52500000 1 1 1
      9159  0 0 0 1 1 1 1 1       0.34999999       0.00000000      12.36249960 1 1 1
      9160  0 0 0 1 1 1 1 1       0.34999999       0.00000000      12.20000020 1 1 1
      9161  0 0 0 1 1 1 1 1       0.34999999       0.00000000      12.03749980 1 1 1
      9162  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.87500040 1 1 1
      9163  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.71250000 1 1 1
      9164  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.54999960 1 1 1
      9165  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.38750020 1 1 1
      9166  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.22499980 1 1 1
      9167  0 0 0 1 1 1 1 1       0.34999999       0.00000000      11.06250040 1 1 1
      9168  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.90000000 1 1 1
      9169  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.73749960 1 1 1
      9170  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.57500020 1 1 1
      9171  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.41249980 1 1 1
      9172  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.25000040 1 1 1
      9173  0 0 0 1 1 1 1 1       0.34999999       0.00000000      10.08750000 1 1 1
      9174  0 0 0 1 1 1 1 1       0.34999999       0.00000000       9.92499960 1 1 1
